id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,interval
80,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4cccnc4,CHEMBL347459,8.27,Ki,C
81,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCc3ccccc3)OCc4ccccc4,CHEMBL100849,8.38,Ki,C
82,CC(C)(C)CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL348117,7.98,Ki,B
83,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccn3,CHEMBL158815,7.52,Ki,B
84,CC(C)C[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL348163,7.86,Ki,B
85,CCC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161424,8.24,Ki,C
86,CC(C)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL157806,7.52,Ki,B
87,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL321974,8.96,Ki,C
88,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC3CCCC3)OCc4ccccc4,CHEMBL159089,7.46,Ki,B
89,CCOC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL348300,7.51,Ki,B
90,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4ccccc4,CHEMBL103238,8.7,Ki,C
91,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)N2CCOCC2,CHEMBL158629,7.16,Ki,B
92,Clc1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL350888,7.08,Ki,B
93,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3cccnc3,CHEMBL158806,8.34,Ki,C
94,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)C,CHEMBL258808,8.11,Ki,C
95,O=C(OCc1ccccc1)N2C(=O)C(=O)c3ccccc23,CHEMBL119515,4.52,IC50,A
96,O=C1N(c2ccccc2C1=O)S(=O)(=O)c3ccccc3,CHEMBL119828,4.82,IC50,A
97,Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc23)c1,CHEMBL118638,4.1,IC50,A
98,Cc1ccc2[nH]c(O)c(\N=N\C(=N)S)c2c1,CHEMBL119345,4.3,IC50,A
99,Cc1ccc2[nH]c(O)c(\N=N\C(=N)S)c2c1,CHEMBL119345,4.82,IC50,A
100,Clc1ccc2N(C(=O)OCc3ccccc3)C(=O)C(=O)c2c1,CHEMBL326185,4.1,IC50,A
101,NC(=S)\N=N\c1c(O)[nH]c2ccc(cc12)[N+](=O)[O-],CHEMBL120254,4.52,IC50,A
102,NC(=S)\N=N\c1c(O)[nH]c2ccc(cc12)[N+](=O)[O-],CHEMBL120254,4.77,IC50,A
103,Clc1ccc(CN2C(=O)C(=O)c3cc(Cl)ccc23)cc1,CHEMBL333067,5.22,IC50,A
104,Cc1cc(C)c2[nH]c(O)c(\N=N\C(=N)S)c2c1,CHEMBL118210,4.8,IC50,A
105,Cc1cc(C)c2[nH]c(O)c(\N=N\C(=N)S)c2c1,CHEMBL118210,4.82,IC50,A
106,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc23)c1,CHEMBL324722,5.7,IC50,A
107,NC(=S)\N=N\c1c(O)[nH]c2ccc(Cl)cc12,CHEMBL119213,4.68,IC50,A
108,NC(=S)\N=N\c1c(O)[nH]c2ccc(Cl)cc12,CHEMBL119213,5.22,IC50,A
109,Cc1cc(Cl)cc2c(\N=N\C(=N)S)c(O)[nH]c12,CHEMBL118355,4.98,IC50,A
110,Cc1cc(Cl)cc2c(\N=N\C(=N)S)c(O)[nH]c12,CHEMBL118355,5.52,IC50,A
111,Clc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,CHEMBL336693,4.05,IC50,A
112,NC(=S)\N=N\c1c(O)[nH]c2ccc(Br)cc12,CHEMBL418861,4.7,IC50,A
113,NC(=S)\N=N\c1c(O)[nH]c2ccc(Br)cc12,CHEMBL418861,5.16,IC50,A
114,O=C(N1C(=O)C(=O)c2ccccc12)c3ccccc3,CHEMBL118830,4.0,IC50,A
115,Cc1ccc2N(Cc3ccccc3c4ccccc4)C(=O)C(=O)c2c1,CHEMBL117767,5.55,IC50,A
116,NC(=S)\N=N\c1c(O)[nH]c2ccccc12,CHEMBL333137,5.1,IC50,A
117,NC(=S)\N=N\c1c(O)[nH]c2ccccc12,CHEMBL333137,5.46,IC50,A
118,NC(=S)\N=N\c1c(O)[nH]c2ccc(I)cc12,CHEMBL119370,5.05,IC50,A
119,NC(=S)\N=N\c1c(O)[nH]c2ccc(I)cc12,CHEMBL119370,6.0,IC50,B
120,Ic1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,CHEMBL118596,4.05,IC50,A
121,NC(=S)\N=N\c1c(O)[nH]c2ccc(F)cc12,CHEMBL119756,4.52,IC50,A
122,NC(=S)\N=N\c1c(O)[nH]c2ccc(F)cc12,CHEMBL119756,4.82,IC50,A
142,CN1CCN(CC1)\C(=N\N=C(/C)\c2cccc(Br)c2)\S,CHEMBL326220,5.3,IC50,A
143,C\C(=N/N=C(/N)\S)\c1cccc(c1)c2ccccc2,CHEMBL108035,5.1,IC50,A
144,C\C(=N/N=C(/N)\S)\c1cccc(Oc2ccccc2)c1,CHEMBL108865,5.0,IC50,A
145,C\C(=N/N=C(/N)\S)\c1ccc(Oc2ccccc2)cc1,CHEMBL109893,5.0,IC50,A
146,C\C(=N/N=C(\S)/N1CCCCC1)\c2cccc(Br)c2,CHEMBL108700,5.3,IC50,A
147,C\C(=N/N=C(/N)\S)\c1ccc(cc1)c2ccccc2,CHEMBL323975,5.3,IC50,A
148,C\C(=N/N=C(/N)\S)\c1cccc(Br)c1,CHEMBL88734,7.22,IC50,B
149,C\C(=N\N=C(\N)/S)\c1cccc(c1)\C(=N\N=C(\N)/S)\C,CHEMBL108101,5.3,IC50,A
150,CCN(CC)\C(=N\N=C(/C)\c1cccc(Br)c1)\S,CHEMBL109619,5.3,IC50,A
151,CC(C)C[C@H](NC(=O)c1ccc(cc1)C(C)(C)C)C(=O)N2NC[C@@H]3[C@H]2C(=O)CN3C(=O)c4ccccc4,CHEMBL607122,7.03,Ki,B
